school,id,conference,division,level,rating,rd,volatility
Air Force,2005,Mountain West,Mountain,fbs,1500,600.0,0.06
Akron,2006,Mid-American,East,fbs,1500,600.0,0.06
Alabama,333,SEC,West,fbs,1500,600.0,0.06
Appalachian State,2026,Sun Belt,East,fbs,1500,600.0,0.06
Arizona,12,Pac-12,,fbs,1500,600.0,0.06
Arizona State,9,Pac-12,,fbs,1500,600.0,0.06
Arkansas,8,SEC,West,fbs,1500,600.0,0.06
Arkansas State,2032,Sun Belt,West,fbs,1500,600.0,0.06
Army,349,FBS Independents,,fbs,1500,600.0,0.06
Auburn,2,SEC,West,fbs,1500,600.0,0.06
Ball State,2050,Mid-American,West,fbs,1500,600.0,0.06
Baylor,239,Big 12,,fbs,1500,600.0,0.06
Boise State,68,Mountain West,Mountain,fbs,1500,600.0,0.06
Boston College,103,ACC,Atlantic,fbs,1500,600.0,0.06
Bowling Green,189,Mid-American,East,fbs,1500,600.0,0.06
Buffalo,2084,Mid-American,East,fbs,1500,600.0,0.06
BYU,252,Big 12,,fbs,1500,600.0,0.06
California,25,Pac-12,,fbs,1500,600.0,0.06
Central Michigan,2117,Mid-American,West,fbs,1500,600.0,0.06
Charlotte,2429,American Athletic,,fbs,1500,600.0,0.06
Cincinnati,2132,Big 12,,fbs,1500,600.0,0.06
Clemson,228,ACC,Atlantic,fbs,1500,600.0,0.06
Coastal Carolina,324,Sun Belt,East,fbs,1500,600.0,0.06
Colorado,38,Pac-12,,fbs,1500,600.0,0.06
Colorado State,36,Mountain West,Mountain,fbs,1500,600.0,0.06
Connecticut,41,FBS Independents,,fbs,1500,600.0,0.06
Duke,150,ACC,Coastal,fbs,1500,600.0,0.06
East Carolina,151,American Athletic,,fbs,1500,600.0,0.06
Eastern Michigan,2199,Mid-American,West,fbs,1500,600.0,0.06
Florida,57,SEC,East,fbs,1500,600.0,0.06
Florida Atlantic,2226,American Athletic,,fbs,1500,600.0,0.06
Florida International,2229,Conference USA,,fbs,1500,600.0,0.06
Florida State,52,ACC,Atlantic,fbs,1500,600.0,0.06
Fresno State,278,Mountain West,West,fbs,1500,600.0,0.06
Georgia,61,SEC,East,fbs,1500,600.0,0.06
Georgia Southern,290,Sun Belt,East,fbs,1500,600.0,0.06
Georgia State,2247,Sun Belt,East,fbs,1500,600.0,0.06
Georgia Tech,59,ACC,Coastal,fbs,1500,600.0,0.06
Hawai'i,62,Mountain West,West,fbs,1500,600.0,0.06
Houston,248,Big 12,,fbs,1500,600.0,0.06
Illinois,356,Big Ten,West,fbs,1500,600.0,0.06
Indiana,84,Big Ten,East,fbs,1500,600.0,0.06
Iowa,2294,Big Ten,West,fbs,1500,600.0,0.06
Iowa State,66,Big 12,,fbs,1500,600.0,0.06
Jacksonville State,55,Conference USA,,fbs,1500,600.0,0.06
James Madison,256,Sun Belt,East,fbs,1500,600.0,0.06
Kansas,2305,Big 12,,fbs,1500,600.0,0.06
Kansas State,2306,Big 12,,fbs,1500,600.0,0.06
Kent State,2309,Mid-American,East,fbs,1500,600.0,0.06
Kentucky,96,SEC,East,fbs,1500,600.0,0.06
Liberty,2335,Conference USA,,fbs,1500,600.0,0.06
Louisiana,309,Sun Belt,West,fbs,1500,600.0,0.06
Louisiana Monroe,2433,Sun Belt,West,fbs,1500,600.0,0.06
Louisiana Tech,2348,Conference USA,,fbs,1500,600.0,0.06
Louisville,97,ACC,Atlantic,fbs,1500,600.0,0.06
LSU,99,SEC,West,fbs,1500,600.0,0.06
Marshall,276,Sun Belt,East,fbs,1500,600.0,0.06
Maryland,120,Big Ten,East,fbs,1500,600.0,0.06
Memphis,235,American Athletic,,fbs,1500,600.0,0.06
Miami,2390,ACC,Coastal,fbs,1500,600.0,0.06
Miami (OH),193,Mid-American,East,fbs,1500,600.0,0.06
Michigan,130,Big Ten,East,fbs,1500,600.0,0.06
Michigan State,127,Big Ten,East,fbs,1500,600.0,0.06
Middle Tennessee,2393,Conference USA,,fbs,1500,600.0,0.06
Minnesota,135,Big Ten,West,fbs,1500,600.0,0.06
Mississippi State,344,SEC,West,fbs,1500,600.0,0.06
Missouri,142,SEC,East,fbs,1500,600.0,0.06
Navy,2426,American Athletic,,fbs,1500,600.0,0.06
NC State,152,ACC,Atlantic,fbs,1500,600.0,0.06
Nebraska,158,Big Ten,West,fbs,1500,600.0,0.06
Nevada,2440,Mountain West,West,fbs,1500,600.0,0.06
New Mexico,167,Mountain West,Mountain,fbs,1500,600.0,0.06
New Mexico State,166,Conference USA,,fbs,1500,600.0,0.06
North Carolina,153,ACC,Coastal,fbs,1500,600.0,0.06
Northern Illinois,2459,Mid-American,West,fbs,1500,600.0,0.06
North Texas,249,American Athletic,,fbs,1500,600.0,0.06
Northwestern,77,Big Ten,West,fbs,1500,600.0,0.06
Notre Dame,87,FBS Independents,,fbs,1500,600.0,0.06
Ohio,195,Mid-American,East,fbs,1500,600.0,0.06
Ohio State,194,Big Ten,East,fbs,1500,600.0,0.06
Oklahoma,201,Big 12,,fbs,1500,600.0,0.06
Oklahoma State,197,Big 12,,fbs,1500,600.0,0.06
Old Dominion,295,Sun Belt,East,fbs,1500,600.0,0.06
Ole Miss,145,SEC,West,fbs,1500,600.0,0.06
Oregon,2483,Pac-12,,fbs,1500,600.0,0.06
Oregon State,204,Pac-12,,fbs,1500,600.0,0.06
Penn State,213,Big Ten,East,fbs,1500,600.0,0.06
Pittsburgh,221,ACC,Coastal,fbs,1500,600.0,0.06
Purdue,2509,Big Ten,West,fbs,1500,600.0,0.06
Rice,242,American Athletic,,fbs,1500,600.0,0.06
Rutgers,164,Big Ten,East,fbs,1500,600.0,0.06
Sam Houston State,2534,Conference USA,,fbs,1500,600.0,0.06
San Diego State,21,Mountain West,West,fbs,1500,600.0,0.06
San José State,23,Mountain West,West,fbs,1500,600.0,0.06
SMU,2567,American Athletic,,fbs,1500,600.0,0.06
South Alabama,6,Sun Belt,West,fbs,1500,600.0,0.06
South Carolina,2579,SEC,East,fbs,1500,600.0,0.06
Southern Mississippi,2572,Sun Belt,West,fbs,1500,600.0,0.06
South Florida,58,American Athletic,,fbs,1500,600.0,0.06
Stanford,24,Pac-12,,fbs,1500,600.0,0.06
Syracuse,183,ACC,Atlantic,fbs,1500,600.0,0.06
TCU,2628,Big 12,,fbs,1500,600.0,0.06
Temple,218,American Athletic,,fbs,1500,600.0,0.06
Tennessee,2633,SEC,East,fbs,1500,600.0,0.06
